"Nom_Modele","Secteur","Sous_Secteur","Type_Batiment","Type_Hauteur","Periode","Chemin_Relatif"
"R_MU_Trip_Det-bsmt-main_1985-2010","R","MU","Trip","","1985-2010","R\MU\Trip\R_MU_Trip_Det-bsmt-main_1985-2010\R_MU_Trip_Det-bsmt-main_1985-2010.osm"
"R_MU_Trip_Det-bsmt-main_post-2010","R","MU","Trip","","post-2010","R\MU\Trip\R_MU_Trip_Det-bsmt-main_post-2010\R_MU_Trip_Det-bsmt-main_post-2010.osm"
"R_MU_Trip_Det-bsmt-main_pre-1945","R","MU","Trip","","pre-1945","R\MU\Trip\R_MU_Trip_Det-bsmt-main_pre-1945\R_MU_Trip_Det-bsmt-main_pre-1945.osm"
"R_MU_Trip_Det-bsmt-unit_1945-1985","R","MU","Trip","","1945-1985","R\MU\Trip\R_MU_Trip_Det-bsmt-unit_1945-1985\R_MU_Trip_Det-bsmt-unit_1945-1985.osm"
"R_MU_Trip_Det-bsmt-unit_1985-2010","R","MU","Trip","","1985-2010","R\MU\Trip\R_MU_Trip_Det-bsmt-unit_1985-2010\R_MU_Trip_Det-bsmt-unit_1985-2010.osm"
"R_MU_Trip_Det-bsmt-unit_post-2010","R","MU","Trip","","post-2010","R\MU\Trip\R_MU_Trip_Det-bsmt-unit_post-2010\R_MU_Trip_Det-bsmt-unit_post-2010.osm"
"R_MU_Trip_Det-bsmt-unit_pre-1945","R","MU","Trip","","pre-1945","R\MU\Trip\R_MU_Trip_Det-bsmt-unit_pre-1945\R_MU_Trip_Det-bsmt-unit_pre-1945.osm"
"R_SF_Det_1fl_1946-1970","R","SF","Det","","1946-1970","R\SF\Det\R_SF_Det_1fl_1946-1970\R_SF_Det_1fl_1946-1970.osm"
"R_SF_Det_1fl_1971-1985","R","SF","Det","","1971-1985","R\SF\Det\R_SF_Det_1fl_1971-1985\R_SF_Det_1fl_1971-1985.osm"
"R_SF_Det_1fl_1985-2012","R","SF","Det","","1985-2012","R\SF\Det\R_SF_Det_1fl_1985-2012\R_SF_Det_1fl_1985-2012.osm"
"R_SF_Det_1fl_post2012","R","SF","Det","","post2012","R\SF\Det\R_SF_Det_1fl_post2012\R_SF_Det_1fl_post2012.osm"
"R_SF_Det_1fl_pre1945","R","SF","Det","","pre1945","R\SF\Det\R_SF_Det_1fl_pre1945\R_SF_Det_1fl_pre1945.osm"
"R_SF_Det_2fl_1945-1970","R","SF","Det","","","R\SF\Det\R_SF_Det_2fl_1945-1970\R_SF_Det_2fl_1945-1970.osm"
"R_SF_Det_2fl_1971-1985","R","SF","Det","","1971-1985","R\SF\Det\R_SF_Det_2fl_1971-1985\R_SF_Det_2fl_1971-1985.osm"
"R_SF_Det_2fl_1985-2012","R","SF","Det","","1985-2012","R\SF\Det\R_SF_Det_2fl_1985-2012\R_SF_Det_2fl_1985-2012.osm"
"R_SF_Det_2fl_post2012","R","SF","Det","","post2012","R\SF\Det\R_SF_Det_2fl_post2012\R_SF_Det_2fl_post2012.osm"
"R_SF_Det_2fl_pre1945","R","SF","Det","","pre1945","R\SF\Det\R_SF_Det_2fl_pre1945\R_SF_Det_2fl_pre1945.osm"
"R_SF_Row_end_1946-1970","R","SF","Row","","1946-1970","R\SF\Row\R_SF_Row_end_1946-1970\R_SF_Row_end_1946-1970.osm"
"R_SF_Row_end_1971-1985","R","SF","Row","","1971-1985","R\SF\Row\R_SF_Row_end_1971-1985\R_SF_Row_end_1971-1985.osm"
"R_SF_Row_end_1986-2012","R","SF","Row","","1986-2012","R\SF\Row\R_SF_Row_end_1986-2012\R_SF_Row_end_1986-2012.osm"
"R_SF_Row_end_post2012","R","SF","Row","","post2012","R\SF\Row\R_SF_Row_end_post2012\R_SF_Row_end_post2012.osm"
"R_SF_Row_end_pre1945","R","SF","Row","","pre1945","R\SF\Row\R_SF_Row_end_pre1945\R_SF_Row_end_pre1945.osm"
"R_SF_Row_mid_1946-1970","R","SF","Row","","1946-1970","R\SF\Row\R_SF_Row_mid_1946-1970\R_SF_Row_mid_1946-1970.osm"
"R_SF_Row_mid_1971-1985","R","SF","Row","","1971-1985","R\SF\Row\R_SF_Row_mid_1971-1985\R_SF_Row_mid_1971-1985.osm"
"R_SF_Row_mid_1985-2012","R","SF","Row","","1985-2012","R\SF\Row\R_SF_Row_mid_1985-2012\R_SF_Row_mid_1985-2012.osm"
"R_SF_Row_mid_post2012","R","SF","Row","","post2012","R\SF\Row\R_SF_Row_mid_post2012\R_SF_Row_mid_post2012.osm"
"R_SF_Row_mid_pre1945","R","SF","Row","","pre1945","R\SF\Row\R_SF_Row_mid_pre1945\R_SF_Row_mid_pre1945.osm"
"R_SF_SD_1fl_1946-1970","R","SF","SD","","1946-1970","R\SF\SD\R_SF_SD_1fl_1946-1970\R_SF_SD_1fl_1946-1970.osm"
"R_SF_SD_1fl_1971-1985","R","SF","SD","","1971-1985","R\SF\SD\R_SF_SD_1fl_1971-1985\R_SF_SD_1fl_1971-1985.osm"
"R_SF_SD_1fl_1986-2012","R","SF","SD","","1986-2012","R\SF\SD\R_SF_SD_1fl_1986-2012\R_SF_SD_1fl_1986-2012.osm"
"R_SF_SD_1fl_post2012","R","SF","SD","","post2012","R\SF\SD\R_SF_SD_1fl_post2012\R_SF_SD_1fl_post2012.osm"
"R_SF_SD_1fl_pre1945","R","SF","SD","","pre1945","R\SF\SD\R_SF_SD_1fl_pre1945\R_SF_SD_1fl_pre1945.osm"
"R_SF_SD_2fl_1946-1970","R","SF","SD","","1946-1970","R\SF\SD\R_SF_SD_2fl_1946-1970\R_SF_SD_2fl_1946-1970.osm"
"R_SF_SD_2fl_1971-1985","R","SF","SD","","1971-1985","R\SF\SD\R_SF_SD_2fl_1971-1985\R_SF_SD_2fl_1971-1985.osm"
"R_SF_SD_2fl_1986-2012","R","SF","SD","","1986-2012","R\SF\SD\R_SF_SD_2fl_1986-2012\R_SF_SD_2fl_1986-2012.osm"
"R_SF_SD_2fl_post2012","R","SF","SD","","post2012","R\SF\SD\R_SF_SD_2fl_post2012\R_SF_SD_2fl_post2012.osm"
"R_SF_SD_2fl_pre1945","R","SF","SD","","pre1945","R\SF\SD\R_SF_SD_2fl_pre1945\R_SF_SD_2fl_pre1945.osm"
